업종,상호,지번주소,도로명주소
체력단련장업,얼라이브짐,"서울특별시 성동구 하왕십리동 1070번지 센트라스 H동  204,205호 ","서울특별시 성동구 왕십리로 410, H동 204,205호 (하왕십리동, 센트라스)"
체력단련장업,무브먼트 프로젝트,서울특별시 성동구 성수동1가 656-365 ,"서울특별시 성동구 성수일로 1, 2층 2호 (성수동1가)"
체력단련장업,비 스튜디오(Be studio),서울특별시 성동구 성수동2가 289-8 ,"서울특별시 성동구 성수이로 127, 2층 202,203호 (성수동2가)"
체력단련장업,나의 근육 사용설명서,서울특별시 성동구 성수동2가 284-62 ,"서울특별시 성동구 성수일로10길 26, 204호 (성수동2가)"
체력단련장업,파크짐 24시 헬스 PT 한양대점,서울특별시 성동구 행당동 32-6,"서울특별시 성동구 왕십리로 223, 지하1,2층 (행당동)"
체력단련장업,크로스핏 아띠,서울특별시 성동구 도선동 402 승우카센타 ,"서울특별시 성동구 무학로 8, 승우카센타 지하1층 (도선동)"
체력단련장업,힐앤핏,서울특별시 성동구 옥수동 218-1 ,"서울특별시 성동구 한림말길 18, 501-1호 (옥수동)"
체력단련장업,(주)프롬더바디,서울특별시 성동구 성수동1가 656-75 ,"서울특별시 성동구 왕십리로 115, 9층 905호 (성수동1가)"
체력단련장업,해빗피트니스 옥수점,서울특별시 성동구 옥수동 563 ,"서울특별시 성동구 매봉길 48, 지하2층 201~204, 206,207호 (옥수동)"
체력단련장업,율 메디컬 트레이닝 센터,서울특별시 성동구 옥수동 284-14 동호빌딩 ,"서울특별시 성동구 독서당로 212, 동호빌딩 (옥수동)"
체력단련장업,루트피티,서울특별시 성동구 행당동 229-4,"서울특별시 성동구 왕십리로 284-1, 2층 (행당동)"
체력단련장업,(주)운동의 정석,서울특별시 성동구 도선동 53 한성아펠타워 ,"서울특별시 성동구 왕십리로 322, 한성아펠타워 B1~B3호 (도선동)"
체력단련장업,빅브로짐 휘트니스 성수점,서울특별시 성동구 성수동1가 656-75 ,"서울특별시 성동구 왕십리로 115, 지하층 (성수동1가)"
체력단련장업,더바른몸PT,서울특별시 성동구 도선동 46 W에비뉴타워 ,"서울특별시 성동구 왕십리로 320, W에비뉴타워 503호 (도선동)"
체력단련장업,성수역점 스포애니,서울특별시 성동구 성수동2가 317-23 세종빌딩 ,"서울특별시 성동구 성수이로20길 3, 세종빌딩 (성수동2가)"
체력단련장업,ST 요가앤PT,서울특별시 성동구 옥수동 362-1 교연학원 ,"서울특별시 성동구 한림말3길 10, 교연학원 지하1층 (옥수동)"
체력단련장업,리커버 필라테스 PT,서울특별시 성동구 행당동 192-29 성동샤르망 ,"서울특별시 성동구 고산자로 284, 성동샤르망 206호 (행당동)"
체력단련장업,에이블짐 한양대점,서울특별시 성동구 행당동 12-5 미진빌딩 ,"서울특별시 성동구 마조로 30, 미진빌딩 지층 101호 (행당동)"
체력단련장업,"오늘, 운동",서울특별시 성동구 하왕십리동 1066 텐즈힐 ,"서울특별시 성동구 무학로 33, 152동 b107호 (하왕십리동, 텐즈힐)"
체력단련장업,PND,서울특별시 성동구 성수동1가 656-1661 ,"서울특별시 성동구 성수일로 21, 2층 (성수동1가)"
체력단련장업,빌드업피트니스 &PT 성수역점,서울특별시 성동구 성수동2가 300-5 남영빌딩 ,"서울특별시 성동구 아차산로 97, 남영빌딩 3층 (성수동2가)"
체력단련장업,퀸 스페셜 PT,서울특별시 성동구 성수동2가 300-65 현진빌딩 ,"서울특별시 성동구 아차산로 91, 현진빌딩 2층 (성수동2가)"
체력단련장업,PT STUDIO RE . ON,서울특별시 성동구 도선동 21-1 케이 타워 ,"서울특별시 성동구 고산자로 255, 케이 타워 7층 (도선동)"
체력단련장업,뉴바디필라테스&멀티트레이닝센터,서울특별시 성동구 성수동2가 315-73 유원지식산업센터 ,"서울특별시 성동구 성수일로6길 53, 유원지식산업센터 3층 (성수동2가)"
체력단련장업,바나나짐,서울특별시 성동구 금호동1가 128-1 금복빌딩 ,"서울특별시 성동구 행당로 35, 금복빌딩 1층 (금호동1가)"
체력단련장업,더 바디 피트니스,서울특별시 성동구 용답동 232-1 신창비바패밀리 ,"서울특별시 성동구 천호대로 400, B101호 (용답동, 신창비바패밀리)"
체력단련장업,바른피티,서울특별시 성동구 옥수동 365-20 ,"서울특별시 성동구 한림말5길 9, 5층 (옥수동)"
체력단련장업,shut up and squat,서울특별시 성동구 옥수동 262-1 ,"서울특별시 성동구 독서당로 202, B103호 (옥수동)"
체력단련장업,릴리브짐 신당점,서울특별시 성동구 하왕십리동 1070 센트라스,"서울특별시 성동구 왕십리로 410, I동 101호 102호 (하왕십리동, 센트라스)"
체력단련장업,하이엔드핏 PT,서울특별시 성동구 도선동 289 ,"서울특별시 성동구 왕십리로 348, 5층 (도선동)"
체력단련장업,브라보 PT,서울특별시 성동구 하왕십리동 966-68 ,"서울특별시 성동구 왕십리로 339-1, 3층 (하왕십리동)"
체력단련장업,(주)더에이치에스,서울특별시 성동구 성수동2가 317-4 청운재 ,"서울특별시 성동구 연무장11길 15, 청운재 지하1층 (성수동2가)"
체력단련장업,뭉트니스 PT & 헬스,서울특별시 성동구 옥수동 323-17 조을빌딩 ,"서울특별시 성동구 독서당로 226, 조을빌딩 2층 (옥수동)"
체력단련장업,모스트짐,서울특별시 성동구 성수동1가 13-441 ,"서울특별시 성동구 상원길 64, 2층 (성수동1가)"
체력단련장업,찬스짐 PT,서울특별시 성동구 하왕십리동 946-15 성동빌딩 ,"서울특별시 성동구 왕십리로 363, 성동빌딩 401호 (하왕십리동)"
체력단련장업,3GYM,서울특별시 성동구 성수동1가 656-945 ,"서울특별시 성동구 왕십리로14길 30-3, 2층 (성수동1가)"
체력단련장업,와츠핏(What.s fit),서울특별시 성동구 금호동2가 494 동원빌딩 ,"서울특별시 성동구 금호산길 61, 동원빌딩 301호 (금호동2가)"
체력단련장업,F45,서울특별시 성동구 성수동2가 314-5 S TOWER ,"서울특별시 성동구 아차산로 92, S TOWER B102호 (성수동2가)"
체력단련장업,굿타임 PT,서울특별시 성동구 마장동 773-3 제일은행 ,"서울특별시 성동구 마장로 291, 제일은행 2층 (마장동)"
체력단련장업,짐타운,서울특별시 성동구 성수동1가 656-25 ,"서울특별시 성동구 성수일로1길 1, B1층 (성수동1가)"
체력단련장업,리피티 재활PT 왕십리점,서울특별시 성동구 행당동 317-189,"서울특별시 성동구 행당로17길 1-57, B1층 (행당동)"
체력단련장업,동핏,서울특별시 성동구 금호동2가 449-1 ,"서울특별시 성동구 금호로 151, 3층 (금호동2가)"
체력단련장업,프로 짐,서울특별시 성동구 홍익동 90 성종보습학원 ,"서울특별시 성동구 마장로 191, 성종보습학원 3층 (홍익동)"
체력단련장업,더컨디셔닝,서울특별시 성동구 금호동2가 1215 금호자이1차 ,"서울특별시 성동구 금호로 117, B218호 (금호동2가, 금호자이1차)"
체력단련장업,H GYM PT & GT 신금호4호점,서울특별시 성동구 금호동1가 125-1,"서울특별시 성동구 행당로 1, B03호 (금호동1가)"
체력단련장업,케이큐 라인 PT,서울특별시 성동구 성수동2가 300-65 현진빌딩 ,"서울특별시 성동구 아차산로 91, 현진빌딩 7층 (성수동2가)"
체력단련장업,라이프짐,서울특별시 성동구 성수동2가 308-4 서울숲코오롱디지털타워 ,"서울특별시 성동구 성수일로4길 25, 서울숲코오롱디지털타워 B104호 (성수동2가)"
체력단련장업,스튜디오에이,서울특별시 성동구 행당동 346 행당 한진타운 종합상가 ,"서울특별시 성동구 행당로 84, 행당 한진타운 종합상가 4층 406호 (행당동)"
체력단련장업,휘트니스피플 우먼 왕십리역점,서울특별시 성동구 하왕십리동 966-14,"서울특별시 성동구 왕십리로 327, 3층 (하왕십리동)"
체력단련장업,F45,서울특별시 성동구 도선동 257 ,"서울특별시 성동구 왕십리로 336, B201호 (도선동)"
체력단련장업,리피티,서울특별시 성동구 하왕십리동 959-2,"서울특별시 성동구 왕십리로 347, 2층 (하왕십리동)"
체력단련장업,바디텍쳐,서울특별시 성동구 하왕십리동 291-10 덕융빌딩 ,"서울특별시 성동구 청계천로 452, 덕융빌딩 101호 (하왕십리동)"
체력단련장업,팰리스짐 프리미엄 한남,서울특별시 성동구 옥수동 191-3 강변벽산빌라트 ,"서울특별시 성동구 한림말길 56, 강변벽산빌라트 B02호 (옥수동)"
체력단련장업,짐타임 성수역점,서울특별시 성동구 성수동2가 289-10 제강빌딩 ,"서울특별시 성동구 성수이로 113, 제강빌딩 B1층 (성수동2가)"
체력단련장업,셀바디,서울특별시 성동구 도선동 256-5 ,"서울특별시 성동구 왕십리로 332, B1층 (도선동)"
체력단련장업,하이퍼짐(HYPER GYM),서울특별시 성동구 하왕십리동 966-23 금용빌딩 ,"서울특별시 성동구 무학봉28길 6, 금용빌딩 2층 (하왕십리동)"
체력단련장업,바디101 헬스피티,서울특별시 성동구 성수동1가 13-266 서울숲 무지개,"서울특별시 성동구 상원6나길 30, 지하2층 B201호 (성수동1가, 서울숲 무지개)"
체력단련장업,HUTZ,서울특별시 성동구 도선동 285-1 위너스 오피스텔 B201호,"서울특별시 성동구 왕십리로 340, 위너스 오피스텔 B201호 (도선동)"
체력단련장업,리커버리PT,서울특별시 성동구 마장동 774-2 복성빌딩 ,"서울특별시 성동구 마장로 284, 복성빌딩 지하1층 (마장동)"
체력단련장업,가미핏,서울특별시 성동구 금호동1가 1574 ,"서울특별시 성동구 독서당로51길 8, 지하1층 (금호동1가)"
체력단련장업,퍼먼츠 트레이닝 센터,서울특별시 성동구 성수동1가 661-3 3층 ,"서울특별시 성동구 왕십리로 94-1, 3층 (성수동1가)"
체력단련장업,쓰리짐S,서울특별시 성동구 성수동1가 656-945 ,"서울특별시 성동구 왕십리로14길 30-3, 6층 (성수동1가)"
체력단련장업,성수PT,서울특별시 성동구 성수동2가 315-70 세대빌딩 ,"서울특별시 성동구 연무장7길 12, 세대빌딩 305호 (성수동2가)"
체력단련장업,에프엠(FM)피트니스,서울특별시 성동구 금호동4가 1091 B2층 ,"서울특별시 성동구 장터길 38-1, B2층 (금호동4가)"
체력단련장업,키스짐,서울특별시 성동구 금호동2가 448 김약국 ,"서울특별시 성동구 무수막길 97, 김약국 4층 (금호동2가)"
체력단련장업,더블와이짐 헬스&PT 신금호점,서울특별시 성동구 금호동2가 326 금호빌딩 지하1층 ,"서울특별시 성동구 금호산길 67, 금호빌딩 지하1층 (금호동2가)"
체력단련장업,주식회사 소마피지오,서울특별시 성동구 성수동2가 284-9 성수빌딩 4층 ,"서울특별시 성동구 성수일로 112, 성수빌딩 4층 (성수동2가)"
체력단련장업,업타운휘트니스 왕십리점,서울특별시 성동구 행당동 140 행당동 레몬프라자 B2층 ,"서울특별시 성동구 고산자로6길 40, 행당동 레몬프라자 B2층 (행당동)"
체력단련장업,크로스핏 성수,서울특별시 성동구 성수동2가 272-35 지하1층 ,"서울특별시 성동구 연무장17길 5, 지하1층 (성수동2가)"
체력단련장업,주식회사 온플릭휘트니스한남옥수점,서울특별시 성동구 옥수동 100 옥수하이츠아파트,"서울특별시 성동구 한림말길 48, 옥수하이츠아파트 401-1~401-13 402 402-1~402-15호 (옥수동)"
체력단련장업,아이엠바디(IMBODY),서울특별시 성동구 옥수동 436 극동그린아파트,"서울특별시 성동구 독서당로 173, 극동그린아파트 상가동 1층 107호 (옥수동)"
체력단련장업,비트인서울,서울특별시 성동구 홍익동 296 세영빌딩,"서울특별시 성동구 왕십리로28길 20, 세영빌딩 2층 (홍익동)"
